Country ISO3,Country Name,Postcode,Zone Name,CRESTA Scheme,CRESTA ID,Zone Name
AUS,Australia,2302,Newcastle West,LowRes,Australia CR46,Newcastle
AUS,Australia,2303,Hamilton South,LowRes,Australia CR46,Newcastle
AUS,Australia,2304,Warabrook,LowRes,Australia CR46,Newcastle
AUS,Australia,2305,New Lambton,LowRes,Australia CR46,Newcastle
AUS,Australia,2306,Windale,LowRes,Australia CR46,Newcastle
AUS,Australia,2307,Shortland,LowRes,Australia CR46,Newcastle
AUS,Australia,2308,Newcastle University,LowRes,Australia CR46,Newcastle
AUS,Australia,2311,Gresford,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2312,Nabiac,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2315,Corlette,LowRes,Australia CR46,Newcastle
AUS,Australia,2316,Anna Bay,LowRes,Australia CR46,Newcastle
AUS,Australia,2317,Salamander Bay,LowRes,Australia CR46,Newcastle
AUS,Australia,2318,Medowie,LowRes,Australia CR46,Newcastle
AUS,Australia,2319,Lemon Tree Passage,LowRes,Australia CR46,Newcastle
AUS,Australia,2320,Louth Park,LowRes,Australia CR46,Newcastle
AUS,Australia,2321,Heddon Greta,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2322,Tomago,LowRes,Australia CR46,Newcastle
AUS,Australia,2323,Metford,LowRes,Australia CR46,Newcastle
AUS,Australia,2324,Raymond Terrace,LowRes,Australia CR46,Newcastle
AUS,Australia,2325,Cessnock,LowRes,Australia CR46,Newcastle
AUS,Australia,2326,Abermain,LowRes,Australia CR46,Newcastle
AUS,Australia,2327,Pelaw Main,LowRes,Australia CR46,Newcastle
AUS,Australia,2328,Denman,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2329,Merriwa,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2330,Singleton,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2333,Muswellbrook,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2334,Greta,LowRes,Australia CR46,Newcastle
AUS,Australia,2335,Branxton,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2336,Aberdeen,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2337,Scone,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2338,Murrurundi,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2339,Parraweena,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2340,Tamworth,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2341,Werris Creek,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2342,Currabubula,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2343,Quirindi,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2344,Winton,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2345,Attunga,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2346,Manilla,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2347,Barraba,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2350,Armidale,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2352,Kootingal,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2353,Moonbi,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2354,Walcha,LowRes,Australia CR48,Mid-North coast
AUS,Australia,2355,Watsons Creek,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2356,Gwabegar,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2357,Coonabarabran,LowRes,Australia CR47,Northern Slopes
AUS,Australia,2358,Uralla,LowRes,Australia CR47,Northern Slopes
