id,postcode,locality,state,long,lat
20094,1450,MATARANKA,NT,130.8418661,-16.4525888
20095,1455,MCARTHUR,NT,130.8418661,-16.4525888
20096,1460,MINIYERI,NT,130.8418661,-16.4525888
24134,1465,MINIYERRI,NT,134.0832,-15.2277
20097,1466,NGUKURR,NT,130.8418661,-16.4525888
20098,1470,NITMILUK,NT,130.8418661,-16.4525888
373,1475,NUMBULWAR,NT,130.8418661,-16.4525888
24062,1476,NUTWOOD DOWNS,NT,130.8418661,-16.4525888
20099,1480,PELLEW ISLANDS,NT,130.8418661,-16.4525888
20100,1481,PIGEON HOLE,NT,130.8418661,-16.4525888
20101,1484,ROBINSON RIVER,NT,130.8418661,-16.4525888
20102,1485,STURT PLATEAU,NT,130.8418661,-16.4525888
20103,1490,TANAMI EAST,NT,130.8418661,-16.4525888
20104,1493,TIMBER CREEK,NT,130.8418661,-16.4525888
20105,1495,TOP SPRINGS,NT,130.8418661,-16.4525888
20106,1499,URALLA,NT,130.8418661,-16.4525888
20107,1515,VENN,NT,130.8418661,-16.4525888
20108,1560,VICTORIA RIVER,NT,130.8418661,-16.4525888
375,1565,VICTORIA RIVER DOWNS,NT,130.8418661,-16.4525888
20109,1570,WARUMUNGU,NT,130.8418661,-16.4525888
376,1585,WAVE HILL,NT,130.8418661,-16.4525888
20110,1590,WILTON,NT,130.8418661,-16.4525888
20111,1595,YARRALIN,NT,130.8418661,-16.4525888
20112,1597,TINDAL,NT,132.3791217,-14.53113365
377,1602,TINDAL RAAF,NT,132.417121,-14.558122
378,1630,BORROLOOLA,NT,136.424191,-16.503809
20113,1635,KING ASH BAY,NT,136.3091159,-16.070754
380,1639,TENNANT CREEK,NT,134.173599,-19.641301
381,1640,BRUNCHILLY,NT,134.500504,-18.874571
382,1655,TENNANT CREEK,NT,134.463153,-18.251528
383,1658,AVON DOWNS,NT,134.463153,-18.251528
20114,1660,CALVERT,NT,137.4667145,-16.79698963
384,1670,CRESSWELL DOWNS,NT,134.463153,-18.251528
385,1675,ELLIOTT,NT,134.463153,-18.251528
386,1680,HELEN SPRINGS,NT,134.463153,-18.251528
387,1685,MUCKATY STATION,NT,134.463153,-18.251528
388,1700,NEWCASTLE WATERS,NT,134.463153,-18.251528
20115,1710,NICHOLSON,NT,137.6072968,-18.45128815
20116,1715,PAMAYU,NT,134.055559,-17.60786065
389,1730,PHILLIP CREEK STATION,NT,134.463153,-18.251528
390,1740,RENNER SPRINGS,NT,134.463153,-18.251528
20117,1741,TABLELANDS,NT,135.5134605,-18.92862068
391,1750,TENNANT CREEK,NT,134.463153,-18.251528
392,1755,THREE WAYS,NT,134.463153,-18.251528
393,1765,WARREGO,NT,134.463153,-18.251528
394,1771,WOLLOGORANG STATION,NT,134.463153,-18.251528
395,1781,WYCLIFFE WELL,NT,134.463153,-18.251528
396,1790,ALICE SPRINGS,NT,133.86314,-23.702291
20118,1800,ARALUEN,NT,133.853957,-23.6967102
20119,1805,BRAITLING,NT,133.8633044,-23.67527346
20120,1811,CICCONE,NT,133.8678028,-23.69234565
20121,1819,DESERT SPRINGS,NT,133.8867138,-23.71460854
20122,1825,EAST SIDE,NT,133.8971833,-23.69030677
20123,1830,GILLEN,NT,133.8660005,-23.71080361
20124,1831,SADADEEN,NT,133.9010002,-23.70326702
20125,1835,STUART,NT,133.8823863,-23.6730301
20126,1851,THE GAP,NT,133.8740968,-23.71393895
20127,1860,WHITE GUMS,NT,133.7578528,-23.75188561
397,1871,ALICE SPRINGS,NT,131.298809,-21.949513
398,1874,AHERRENGE,NT,131.298809,-21.949513
399,1875,ALI CURUNG,NT,131.298809,-21.949513
400,1885,ALICE SPRINGS,NT,131.298809,-21.949513
401,1888,AMATA,NT,131.298809,-21.949513
402,1890,AMOONGUNA,NT,131.298809,-21.949513
20128,1891,AMPILATWATJA,NT,131.298809,-21.949513
20129,2000,ANANGU PITJANTJATJARA YANKUNYTJATJARA,NT,131.298809,-21.949513
20130,2001,ANATYE,NT,131.298809,-21.949513
20131,2002,ANMATJERE,NT,131.298809,-21.949513
403,2004,ANTEWENEGERRDE,NT,131.298809,-21.949513
404,2006,AREYONGA,NT,131.298809,-21.949513
20132,2007,ATITJERE,NT,131.298809,-21.949513
20133,2008,AYERS RANGE SOUTH,SA,133.2680322,-26.1906007
406,2009,AYERS ROCK,NT,131.298809,-21.949513
20134,2010,BARROW CREEK,NT,131.298809,-21.949513
20135,2011,BURT PLAIN,NT,131.298809,-21.949513
20136,2012,CANTEEN CREEK,NT,131.298809,-21.949513
20137,2013,CHILLA WELL,NT,131.298809,-21.949513
20138,2015,COSTELLO,NT,131.298809,-21.949513
20139,2016,DAVENPORT,NT,131.298809,-21.949513
20140,2017,DE ROSE HILL,SA,133.3111959,-26.5560969
409,2018,DOCKER RIVER,NT,131.298809,-21.949513
20141,2019,ENGAWALA,NT,131.298809,-21.949513
410,2020,ERLDUNDA,NT,131.298809,-21.949513
411,2021,ERNABELLA,SA,131.298809,-21.949513
22838,2022,ERNABELLA (PUKATJA),SA,132.134,-26.2796
412,2023,FINKE,NT,131.298809,-21.949513
413,2024,FREGON,SA,131.298809,-21.949513
20142,2025,GHAN,NT,131.298809,-21.949513
414,2026,GIBSON DESERT NORTH,WA,131.298809,-21.949513
20143,2027,GIBSON DESERT SOUTH,WA,125.9841842,-24.94725917
416,2028,HAASTS BLUFF,NT,131.298809,-21.949513
20144,2029,HALE,NT,131.298809,-21.949513
20145,2030,HART,NT,131.298809,-21.949513
20146,2031,HART RANGE,NT,131.298809,-21.949513
20147,2032,HERMANNSBURG,NT,131.298809,-21.949513
20148,2033,HUGH,NT,131.298809,-21.949513
418,2034,IMAMPA,NT,131.298809,-21.949513
20149,2035,IMANPA,NT,131.298809,-21.949513
419,2036,INDULKANA,SA,131.298809,-21.949513
22844,2037,INDULKANA (IWANTJA),SA,133.308,-26.9661
20150,2038,ININTI STORE,NT,131.298809,-21.949513
24063,2039,IRRUNYTJU,WA,128.9255,-26.0621
20151,2040,IWANTJA,SA,133.3066861,-26.97805135
420,2041,JAY CREEK,NT,131.298809,-21.949513
20152,2042,KALKA,SA,129.1527543,-26.11557751
20153,2043,KALTJITI,SA,132.0298903,-26.76713295
20154,2044,KALTUKATJARA,NT,131.298809,-21.949513
24064,2045,KANPA,WA,125.6165,-26.5308
20155,2046,KANPI,SA,130.1149452,-26.16295046
23966,2047,KINGS CREEK STATION,NT,131.298809,-21.949513
422,2048,KINTORE,NT,131.298809,-21.949513
20156,2049,KIWIRRKURRA,WA,126.954107,-23.2807675
20157,2050,KULGERA,NT,131.298809,-21.949513
20158,2052,KUNPARRKA,NT,131.298809,-21.949513
20159,2055,LAKE MACKAY,NT,131.298809,-21.949513
20160,2057,LAMBINA,SA,134.0209294,-26.98843007
20161,2058,LARAMBA,NT,131.298809,-21.949513
23973,2059,MACDONNELL RANGE,NT,131.298809,-21.949513
24065,2060,MANTAMARU,WA,127.6841,-25.8447
20162,2061,MEREENIE,NT,131.298809,-21.949513
20163,2062,MIMILI,SA,132.7012923,-27.02392513
20164,2063,MOUNT LIEBIG,NT,131.298809,-21.949513
20165,2064,MOUNT ZEIL,NT,131.298809,-21.949513
427,2065,MULGA BORE,NT,131.298809,-21.949513
20166,2066,MURPUTJA,SA,130.1826917,-26.1637425
428,2067,MURPUTJA HOMELANDS,NT,131.298809,-21.949513
20167,2068,MUTITJULU,NT,131.298809,-21.949513
20168,2069,NAMATJIRA,NT,131.298809,-21.949513
24066,2070,NAPPERBY STATION,NT,131.298809,-21.949513
