Country Name,Cresta Id,Zone Code,Zone Name
Australia,Australia CR48,2431,Mid-North coast
Australia,Australia CR48,2439,Mid-North coast
Australia,Australia CR48,2440,Mid-North coast
Australia,Australia CR48,2441,Mid-North coast
Australia,Australia CR48,2443,Mid-North coast
Australia,Australia CR48,2444,Mid-North coast
Australia,Australia CR48,2445,Mid-North coast
Australia,Australia CR48,2446,Mid-North coast
Australia,Australia CR49,2447,Far North coast
Australia,Australia CR49,2448,Far North coast
Australia,Australia CR49,2449,Far North coast
Australia,Australia CR49,2450,Far North coast
Australia,Australia CR49,2452,Far North coast
Australia,Australia CR49,2453,Far North coast
Australia,Australia CR49,2454,Far North coast
Australia,Australia CR49,2455,Far North coast
Australia,Australia CR49,2456,Far North coast
Australia,Australia CR49,2460,Far North coast
Australia,Australia CR49,2462,Far North coast
Australia,Australia CR49,2463,Far North coast
Australia,Australia CR49,2464,Far North coast
Australia,Australia CR49,2465,Far North coast
Australia,Australia CR49,2466,Far North coast
Australia,Australia CR49,2469,Far North coast
Australia,Australia CR49,2470,Far North coast
Australia,Australia CR49,2471,Far North coast
Australia,Australia CR49,2472,Far North coast
Australia,Australia CR49,2473,Far North coast
Australia,Australia CR49,2474,Far North coast
Australia,Australia CR49,2475,Far North coast
Australia,Australia CR49,2476,Far North coast
Australia,Australia CR49,2477,Far North coast
Australia,Australia CR49,2478,Far North coast
Australia,Australia CR49,2479,Far North coast
Australia,Australia CR49,2480,Far North coast
Australia,Australia CR49,2481,Far North coast
Australia,Australia CR49,2482,Far North coast
Australia,Australia CR49,2483,Far North coast
Australia,Australia CR49,2484,Far North coast
Australia,Australia CR49,2485,Far North coast
Australia,Australia CR49,2486,Far North coast
Australia,Australia CR49,2487,Far North coast
Australia,Australia CR49,2488,Far North coast
Australia,Australia CR49,2489,Far North coast
Australia,Australia CR49,2490,Far North coast
Australia,Australia CR38,2500,South-West NSW
Australia,Australia CR40,2502,Illawarra
Australia,Australia CR40,2505,Illawarra
Australia,Australia CR40,2506,Illawarra
Australia,Australia CR41,2508,Sydney South
Australia,Australia CR40,2515,Illawarra
Australia,Australia CR40,2516,Illawarra
Australia,Australia CR40,2517,Illawarra
Australia,Australia CR40,2518,Illawarra
Australia,Australia CR40,2519,Illawarra
Australia,Australia CR40,2525,Illawarra
Australia,Australia CR40,2526,Illawarra
Australia,Australia CR40,2527,Illawarra
Australia,Australia CR40,2528,Illawarra
Australia,Australia CR40,2529,Illawarra
Australia,Australia CR40,2530,Illawarra
Australia,Australia CR40,2533,Illawarra
Australia,Australia CR35,2534,South Coast NSW
Australia,Australia CR35,2535,South Coast NSW
Australia,Australia CR35,2536,South Coast NSW
Australia,Australia CR35,2537,South Coast NSW
Australia,Australia CR35,2538,South Coast NSW
Australia,Australia CR35,2539,South Coast NSW
Australia,Australia CR35,2540,South Coast NSW
Australia,Australia CR35,2541,South Coast NSW
Australia,Australia CR35,2545,South Coast NSW
Australia,Australia CR35,2546,South Coast NSW
Australia,Australia CR35,2548,South Coast NSW
Australia,Australia CR35,2549,South Coast NSW
Australia,Australia CR35,2550,South Coast NSW
Australia,Australia CR35,2551,South Coast NSW
